date,open,high,low,close,volume,wap,barCount
20251103 09:30:00 US/Eastern,456.0,457.33,453.8,456.2,1784548.0,455.602,10916
20251103 09:35:00 US/Eastern,456.11,464.31,455.8,463.3,2687486.0,460.465,18512
20251103 09:40:00 US/Eastern,463.33,464.51,461.28,463.72,1960141.0,462.967,12875
20251103 09:45:00 US/Eastern,463.66,468.87,463.62,468.06,2711321.0,466.416,19102
20251103 09:50:00 US/Eastern,468.05,471.52,467.28,470.39,2800731.0,469.626,19489
20251103 09:55:00 US/Eastern,470.31,473.65,469.1,473.49,2353976.0,471.545,18098
20251103 10:00:00 US/Eastern,473.52,474.07,469.5,471.05,2303252.0,471.704,15826
20251103 10:05:00 US/Eastern,471.1,472.66,470.02,471.78,1363312.0,471.275,10572
20251103 10:10:00 US/Eastern,471.73,472.31,469.79,471.53,1127549.0,471.028,8612
20251103 10:15:00 US/Eastern,471.61,471.61,468.51,469.85,1415991.0,469.61,10024
20251103 10:20:00 US/Eastern,469.85,470.0,467.7,469.36,1063145.0,468.914,8124
20251103 10:25:00 US/Eastern,469.4,469.54,467.02,469.01,1351636.0,467.932,9167
20251103 10:30:00 US/Eastern,469.07,469.15,467.54,468.09,860335.0,468.375,6554
20251103 10:35:00 US/Eastern,468.15,471.64,466.7,471.5,1674753.0,469.5,11451
20251103 10:40:00 US/Eastern,471.48,472.63,470.43,472.17,1323869.0,471.753,9642
20251103 10:45:00 US/Eastern,472.18,473.17,470.54,471.03,1112861.0,471.95,8210
20251103 10:50:00 US/Eastern,471.04,471.96,469.69,469.92,766196.0,470.748,5973
20251103 10:55:00 US/Eastern,469.96,471.98,469.72,470.8,820200.0,470.898,5964
20251103 11:00:00 US/Eastern,470.86,471.02,468.63,469.44,799571.0,469.593,5753
20251103 11:05:00 US/Eastern,469.34,469.9,468.3,468.91,611596.0,469.06,4586
20251103 11:10:00 US/Eastern,468.9,470.5,468.79,469.87,646153.0,469.417,5037
20251103 11:15:00 US/Eastern,469.77,471.19,468.49,470.68,715552.0,469.81,4888
20251103 11:20:00 US/Eastern,470.64,471.5,469.7,471.1,718696.0,470.732,4714
20251103 11:25:00 US/Eastern,471.13,471.44,468.86,468.93,681626.0,469.985,4601
20251103 11:30:00 US/Eastern,468.95,469.19,467.79,468.59,854341.0,468.496,5714
20251103 11:35:00 US/Eastern,468.55,468.7,467.0,468.06,916396.0,467.756,5986
